source,video_id,title,description,channel_title,published_at,collected_at,anonymized
youtube,YT_69EdIlTP...,Quel impact l&#39;actualité de 2020 a sur nous [Émotions à emporter],L'année 2020 a été éprouvante pour beaucoup d'entre nous. En plus de l'actualité sanitaire qui nous rappelle tous les jours que ...,Louie Media,2020-10-26T16:21:46Z,2025-09-26T11:25:34.518852,True
youtube,YT_usTOedYq...,Revivez l’émotion après l’annonce de l’idée des Restos du Cœur #europe1 #news #interview #restos,ABONNEZ-VOUS pour plus de vidéos : http://bit.ly/radioE1 LE DIRECT : http://www.europe1.fr/direct-video Retrouvez-nous sur ...,Europe 1,2025-04-02T18:00:55Z,2025-09-26T11:25:34.518852,True
youtube,YT_o_-74cxp...,"Vos émotions vous manipulent ❤️ Consommation, politique et actualités 📰","Dans cette vidéo, découvrez comment vos émotions vous manipulent Actualités, politique et consommation 🎙️ QUELLE EST ...",Le Pavé dans ta mare,2023-10-22T08:17:15Z,2025-09-26T11:25:34.518852,True
